id,unit,file,name,info
1,Divide and Conquer,Placeholder.txt,QuickSort,Algoritmo de Ordenamiento QuickSort: Divide el conjunto de datos en subconjuntos menores alrededor de un pivote y luego ordena esos subconjuntos.
2,Divide and Conquer,Placeholder.txt,Merge Sort,Algoritmo de Ordenamiento por Fusión (Merge Sort): Divide la lista a ordenar en mitades hasta llegar a listas de un solo elemento y luego las fusiona ordenadamente.
3,Divide and Conquer,Placeholder.txt,Busqueda Binaria,Algoritmo de Búsqueda Binaria: Divide el conjunto de búsqueda a la mitad en cada paso para encontrar un elemento en una lista ordenada.
4,Divide and Conquer,Placeholder.txt,Mul Mat Strassen,Algoritmo de Multiplicación de Matrices de Strassen: Reduce la complejidad de la multiplicación de matrices utilizando una división ingeniosa y combinaciones de submatrices.
5,Divide and Conquer,Placeholder.txt,FFT,"Algoritmo de la Transformada Rápida de Fourier (Fast Fourier Transform - FFT): Divide la transformada en componentes de frecuencias más pequeñas, facilitando cálculos complejos de transformadas de Fourier."
6,Divide and Conquer,Placeholder.txt,Karatsuba,Algoritmo Karatsuba para Multiplicación de Grandes Números: Reduce la multiplicación de grandes números a multiplicaciones de números más pequeños a través de un método ingenioso de división y combinación.
7,Divide and Conquer,Placeholder.txt,HeapSort,"Algoritmo de Ordenamiento HeapSort: Aunque es principalmente un algoritmo de ordenamiento por montículo (heap), emplea la idea de dividir y vencer al construir el montículo y luego ordenar los elementos."
8,Divide and Conquer,Placeholder.txt,Max Subarreglo,"Cálculo del Máximo Subarreglo: Un problema clásico en el que se divide el arreglo en dos mitades, encontrando el máximo subarreglo en cada mitad y luego combinando estas soluciones."
9,Divide and Conquer,Placeholder.txt,Hanoi,"Torres de Hanoi: Un problema clásico de rompecabezas que se resuelve moviendo discos entre tres postes de acuerdo con un conjunto de reglas, utilizando la división del problema en subproblemas más pequeños."
10,Divide and Conquer,Placeholder.txt,Par de Puntos Cercanos,"Algoritmo de Closest Pair of Points (Par de Puntos más Cercano): Utilizado en geometría computacional para encontrar el par de puntos más cercano en un conjunto, dividiendo el conjunto en subconjuntos y minimizando las distancias en estos."
11,Backtracking,Placeholder.txt,N Reinas,Problema de las N Reinas: Coloca N reinas en un tablero de ajedrez de N×N sin que se amenacen entre sí.
12,Backtracking,Placeholder.txt,Laberintos,Laberintos y Solución de Caminos: Encuentra un camino desde un punto de inicio hasta un punto de destino en un laberinto.
13,Backtracking,Placeholder.txt,Mochila (Backtracking),"Problema de la Mochila (Knapsack Problem): Selecciona un subconjunto de elementos con un peso total que no exceda un límite dado, maximizando el valor total."
14,Backtracking,SumadeSubconjuntos.txt,Suma de Subconjuntos,Problema de Suma de Subconjuntos: Determina si existe un subconjunto de un conjunto dado de números que sume un valor específico.
15,Backtracking,Placeholder.txt,Permutaciones,Generación de Permutaciones: Genera todas las permutaciones posibles de un conjunto de elementos.
16,Backtracking,Placeholder.txt,Combinaciones,Generación de Combinaciones: Crea todas las combinaciones posibles de un conjunto dado de tamaño n tomadas k a la vez.
