id,unit,file,name,info
14,Backtracking,SumadeSubconjuntos.txt,Suma de Subconjuntos,Problema de Suma de Subconjuntos: Determina si existe un subconjunto de un conjunto dado de números que sume un valor específico.
28,Programacion Dinamica,RodCutting.txt,Rod Cutting,"Problema de Corte de Varillas (Rod Cutting Problem): Maximiza el valor total obtenido al cortar una varilla y vender las piezas, dados precios diferentes para cada longitud."
30,Programacion Dinamica,SumadeSubconjuntosPD.txt,Suma de Subconjuntos (PD),Problema de la Suma de Subconjuntos (Subset Sum Problem): Verifica si existe un subconjunto de un conjunto dado de números que sume un valor específico.
40,Greedy,SelecciondeActividades.txt,Seleccion de Actividades,"Selección Óptima de Actividades: Problema de optimización para elegir el máximo número de actividades sin solapamientos temporales, comparable a un ""Problema de Programación de Intervalos"" donde cada actividad es un intervalo y se busca maximizar el número de intervalos no superpuestos."
41,Extra,CuadradoMagico.txt,Cuadrado Magico,Empty Text
42,Extra,SubconjuntosyPermutaciones.txt,Subconjuntos y Permutaciones,"es un problema de optimización combinatoria, donde buscas una permutación que minimice una función de costo (en este caso, la suma de elementos de una matriz con restricciones). Puede ser categorizado como un ""Problema de Permutación con Restricciones""."
43,Extra,Billetes.txt,Billetes,Variante del Problema de la Mochila 0-1 con Minimización de Exceso y Cantidad de Billetes
44,Extra,Astrovoid.txt,AstroVoid,Variante del Problema de Compra y Venta de Acciones con Restricciones Específicas
45,Extra,TerrenodeTrampas.txt,Terreno de Trampas,Terreno Minima Vida: Problema de Programación Dinámica con restricciones específicas en un grafo con pesos.
46,Extra,ApilamientodeCajas.txt,Apilamiento de Cajas,Apilamiento Cajas: Variante del Problema de la Mochila 0-1 con restricciones adicionales de orden y soporte.
47,Extra,IntercalarOperaciones.txt,Intercalar Operaciones,Intercalar Operaciones: Problema de Programación Dinámica para encontrar una secuencia de operaciones que alcance un objetivo.
48,Extra,LanzamientodeDados.txt,Lanzamiento de Dados,Variantes del problema de contar las formas posibles de obtener una suma específica con lanzamientos de dados.
49,Extra,ParejasdeBaile.txt,Parejas de Baile,"Este problema parece ajustarse a un enfoque greedy por similitud con el problema de Seleccion de Actividades, donde se busca maximizar el número de actividades (o parejas, en este caso) bajo ciertas restricciones (diferencia de habilidades en lugar de tiempos de inicio y finalización)."
50,Extra,MaximoValordeSubconjuntodeTamanok.txt,Máximo Valor de Subconjunto de Tamaño k,"Este problema se asemeja al ejemplo de Mochila, donde se busca maximizar el valor dentro de una restricción de tamaño o capacidad, aunque en este caso, sin la posibilidad de tomar fracciones de elementos."
51,Extra,SumadeElementosconCostoMínimo.txt,Suma de Elementos con Costo Mínimo,"Suma de Elementos con Costo Mínimo: Este problema tiene una dinámica similar al problema de Puntos de Gasolina en términos de optimización de costos bajo ciertas operaciones, aunque su aplicación directa es más similar a una forma de optimización de costos de operaciones."
52,Extra,ViajedeTomas.txt,Viaje de Tomas,"Este problema se ajusta claramente al ejemplo de Puntos de Gasolina, donde se busca minimizar las paradas para reabastecerse basándose en la capacidad del tanque y la distancia entre estaciones."
53,Extra,DivisiondeCursos.txt,División de Cursos,"Este problema podría relacionarse con el de Programacion de Intervalos o Seleccion de Actividades, en cuanto a la división de un grupo en subgrupos para optimizar cierta métrica (número de pares cercanos), aunque no es una correspondencia directa con los ejemplos dados."
54,Extra,MaximizarMex.txt,Maximizar Mex,"Este problema tiene una estrategia greedy implícita en la selección de elementos para maximizar una suma bajo una función específica, pero no tiene un paralelo directo claro con los ejemplos arquetípicos listados."
55,Extra,CacheOffline.txt,Caché Off-line,"Este se asocia con el ejemplo de Cambio de Monedas, en términos de minimizar la cantidad de operaciones (misses) bajo ciertas restricciones, aunque la analogía es más conceptual en términos de optimización y selección de elementos (datos en caché) para minimizar un costo."
56,Extra,ProblemadelaFiesta.txt,Problema de la Fiesta,"Maximización de Conjunto Independiente: Problema de optimización para seleccionar el máximo conjunto de invitados sin conflictos entre ellos, similar a un ""Problema de Conjunto Independiente Máximo"" en grafos, donde cada vértice es un invitado y cada arista representa un conflicto."
57,Extra,OptimizacióndeTrayectoriasconRestricciones.txt,Optimización de Trayectorias con Restricciones,"El problema descrito es un claro ejemplo de Optimización de Trayectorias con Restricciones, un caso arquetípico en programación dinámica (PD) donde se busca minimizar o maximizar una métrica (en este caso, la resistencia al aire) sujeta a una serie de decisiones secuenciales (la selección de altitudes durante un vuelo). Se relaciona estrechamente con el Problema de Camino Mínimo en Grafos con Restricciones de Estado, donde los nodos representarían los minutos de vuelo y las aristas las transiciones entre altitudes, con la particularidad de que el cambio de altitud implica restricciones adicionales en términos de tiempo y resistencia."
